Sat.EarthMJ2000Eq.X,Sat.EarthMJ2000Eq.Y,Sat.EarthMJ2000Eq.Z,Sat.ElapsedSecs
-10954.77673113845,46566.35078438649,-1588.83776386147,130066.1070325761
-13513.39512649713,49634.91407504403,-1323.320669494317,131134.1985272127
-16292.24990610345,52837.82457906025,-1024.357116855882,132316.1204281147
-19306.75621776738,56181.78001426291,-689.3821905137864,133624.8297457583
-22572.97007653732,59673.07803669841,-315.667791863707,135074.6062269202
-26108.02006658256,63318.05231121831,99.72928048124857,136681.3970341464
-29929.79698081187,67122.67888021149,559.9374763929717,138462.8595613525
-34057.0164707751,71092.59560856699,1068.282346272389,140438.5881293099
-38509.32609474414,75233.13942928634,1628.306163900532,142630.3955248673
-43307.04068394766,79549.02512256461,2243.742202051574,145062.4471646268
-48471.26965164147,84044.39496835101,2918.538257487819,147761.6206543869
-54023.56311070533,88722.4314248577,3656.819411812211,150757.6628715615
-59986.03470746043,93585.3914150678,4462.913371422536,154083.639396017
-66380.98695209027,98634.21020005827,5341.311688782343,157776.1763725081
-73230.78444404216,103868.3211557504,6296.664842624981,161875.895494048
-80557.61710001799,109285.3792469625,7333.764968290688,166427.8681830852
-88383.15703670989,114880.9026790169,8457.516456910487,171482.0981210098
-96728.03966810252,120647.7941536984,9672.884438000634,177093.9950687578
-105611.1208541815,126575.7278601386,10984.81371138482,183324.806600099
-115049.3364866551,132650.9476706141,12398.24238229707,190242.61969988
-125056.7050186167,138855.4728234512,13917.99968137385,197922.9873338132
-135643.1711906012,145166.2413341386,15548.68897018882,206449.6379299555
-146813.4739412289,151554.2959631012,17294.58939401318,215915.4797527241
-158566.47959764,157984.2145655312,19159.65730248856,226424.4553546538
-170893.4254019922,164412.8684637751,21147.39902869497,238093.140744511
-183771.9412747039,170786.1372346803,23260.10235060129,251048.8055161899
-197170.7112251951,177041.0748726672,25499.87865927505,265438.8343233964
-211041.069133904,183101.2871241208,27867.73449959257,281429.3760128436
-225323.6746560718,188879.0138996097,30365.44902134308,299223.8854546915
-239916.4461963433,194261.1907893483,32991.15274354757,319038.7606019969
-254431.3092819353,199036.6770938159,35694.67787154591,340733.9966141735
-254469.4335832227,199048.3952875089,35701.92172260801,340793.9966140548
-254574.5332511595,199080.6760871369,35721.8955680644,340959.49106568
-254881.3391733859,199174.7124022499,35780.23893563775,341443.3472048608
-255728.2795476772,199432.7665966226,35941.57650150107,342784.850358346
-257617.3895939046,200000.1553813326,36302.95700610764,345808.4091642871
-260911.8997696978,200961.9227801438,36938.42353257907,351188.7400227715
-267348.6219735515,202734.4260855412,38201.05581022691,362125.5115280743
-275624.5138476203,204788.9243170065,39872.47119178605,377125.5115282489
-283281.0762503588,206437.7936091706,41478.95041136314,392125.5115281092
-290335.7775760065,207711.6089237267,43026.12185973195,407125.5115279695
-296802.2846303529,208639.7000421706,44520.31280092847,422125.5115281441
-302690.6019878726,209251.6033404395,45969.0803627787,437125.5115280044
-308006.9935615884,209579.0087156115,47382.05411634662,452125.511528179
-312151.1765595936,209660.8992696659,48586.93075211236,465117.1466749976
-315402.1564301436,209604.1982927907,49628.62658639428,476398.6665225355
-317965.1461606321,209478.9299559385,50540.46174874914,486212.7651030547
-319996.1084365208,209330.5552961667,51348.49189432748,494770.3233506531
-321613.1062200664,209188.0703294676,52072.79978610521,502248.7870316952
-322906.8699148241,209069.3804201875,52729.2730175396,508800.6149416091
-323947.5672817364,208984.9964444019,53330.62313337092,514556.748193677
-324789.7657555162,208940.5912659093,53887.11100774723,519629.2521266034
-325476.2879121408,208938.753805713,54407.17630638171,524114.4301797613
